,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
22,0.8101,0.8233,0.8302,0.8404,0.8445,0.8487,0.8533,0.8549,0.8606,0.8629,0.8658,0.867,0.869,0.8712,0.8728,0.874,0.8763,0.8789,0.8806,0.8793,0.8804,0.883,0.8832,0.8861,0.8861,0.8874,0.8867,0.8882,0.8881,0.8893,0.8884,0.8914,0.892,0.892,0.8927,0.8946,0.8953,0.8946,0.8941,0.8953,0.898,0.8959,0.896,0.8959,0.8958,0.8991,0.898,0.9016,0.9003,0.8987,0.9026
23,0.8049,0.8176,0.8296,0.8382,0.8438,0.8493,0.8551,0.8574,0.8598,0.8627,0.8647,0.8674,0.8717,0.873,0.8748,0.8755,0.8781,0.881,0.8793,0.8804,0.8819,0.8839,0.8832,0.8835,0.8842,0.8855,0.8862,0.8866,0.8877,0.8885,0.8894,0.8913,0.8904,0.8917,0.8916,0.8949,0.8948,0.897,0.8968,0.8959,0.8979,0.8961,0.896,0.8994,0.8993,0.8999,0.8972,0.8996,0.8994,0.9002,0.8987
24,0.8118,0.8241,0.8313,0.8365,0.8416,0.8473,0.8507,0.8546,0.8586,0.8607,0.8625,0.8653,0.8681,0.8685,0.8702,0.8711,0.8724,0.8746,0.8766,0.8785,0.8809,0.8793,0.8812,0.8831,0.8825,0.8836,0.8854,0.8879,0.8885,0.8881,0.8901,0.891,0.8906,0.8908,0.8893,0.8929,0.8928,0.8943,0.8917,0.8938,0.8947,0.8956,0.8976,0.8935,0.8975,0.8964,0.898,0.8987,0.898,0.8995,0.8998
25,0.8103,0.8244,0.8319,0.8379,0.8435,0.846,0.8535,0.8575,0.8619,0.8634,0.8652,0.8676,0.8684,0.8732,0.8724,0.8746,0.8738,0.8758,0.8794,0.8788,0.8816,0.8812,0.8837,0.8863,0.8827,0.8842,0.8844,0.8876,0.8887,0.8873,0.8927,0.8897,0.893,0.8949,0.8936,0.8949,0.8959,0.8978,0.8994,0.8974,0.8993,0.897,0.8991,0.9013,0.8967,0.9019,0.8961,0.9008,0.9016,0.8963,0.9004
26,0.8169,0.8267,0.8366,0.8439,0.8511,0.8556,0.8584,0.8602,0.8642,0.8659,0.8681,0.8698,0.8731,0.8748,0.8752,0.8767,0.8804,0.882,0.8819,0.882,0.8846,0.8853,0.8876,0.8901,0.8874,0.8903,0.89,0.8905,0.8909,0.8906,0.8928,0.8929,0.8944,0.8937,0.8971,0.8969,0.8986,0.8965,0.8985,0.8987,0.8985,0.8998,0.9006,0.9005,0.8972,0.9019,0.9008,0.9047,0.8995,0.8996,0.9006
27,0.8139,0.8323,0.8413,0.8482,0.8528,0.8577,0.8602,0.8632,0.8652,0.8673,0.8702,0.8713,0.8718,0.875,0.8768,0.877,0.8774,0.8769,0.8796,0.8819,0.8833,0.8849,0.8867,0.886,0.8879,0.8889,0.8911,0.8914,0.8906,0.8904,0.8912,0.8893,0.8926,0.8928,0.8934,0.8928,0.8948,0.8961,0.8981,0.8952,0.8957,0.8946,0.8994,0.9005,0.8989,0.8996,0.8974,0.8994,0.8999,0.901,0.899
28,0.813,0.8286,0.8339,0.8414,0.8446,0.8517,0.8542,0.8598,0.8625,0.8622,0.8662,0.8663,0.8683,0.8716,0.872,0.8746,0.8738,0.8785,0.8785,0.8811,0.8812,0.8809,0.8827,0.8841,0.884,0.8862,0.8861,0.8887,0.8903,0.891,0.8929,0.8909,0.8933,0.8925,0.8923,0.893,0.8924,0.8932,0.8948,0.8949,0.8943,0.8936,0.8928,0.896,0.8931,0.8997,0.8962,0.8975,0.897,0.8945,0.898
29,0.8143,0.8252,0.8371,0.8437,0.85,0.8536,0.8567,0.8599,0.8632,0.8648,0.8674,0.8696,0.8706,0.8721,0.8725,0.8742,0.876,0.877,0.8781,0.8806,0.8807,0.8825,0.8832,0.8848,0.8811,0.8853,0.8839,0.888,0.8888,0.8897,0.8906,0.8901,0.8897,0.8921,0.8901,0.8937,0.8915,0.893,0.8945,0.8956,0.8933,0.8963,0.8968,0.8978,0.8949,0.8968,0.8974,0.8981,0.898,0.8978,0.8986
30,0.8074,0.8196,0.8313,0.8379,0.8433,0.8476,0.8494,0.8537,0.8588,0.862,0.8647,0.8672,0.87,0.8712,0.8726,0.8743,0.8752,0.875,0.8769,0.8777,0.8805,0.8814,0.882,0.8823,0.8841,0.883,0.8855,0.8859,0.8868,0.8871,0.889,0.8889,0.8917,0.8908,0.8915,0.8932,0.895,0.8955,0.8948,0.8945,0.8964,0.8948,0.8971,0.8955,0.8959,0.899,0.8993,0.8989,0.8997,0.8964,0.9002
31,0.812,0.8253,0.8329,0.8419,0.8481,0.8534,0.8577,0.8592,0.8635,0.8645,0.8669,0.8684,0.8704,0.8724,0.8735,0.8742,0.8751,0.8789,0.8801,0.88,0.8816,0.8824,0.8836,0.8837,0.8856,0.8851,0.8864,0.8851,0.8862,0.888,0.8877,0.8896,0.8888,0.8899,0.889,0.8879,0.889,0.8903,0.8912,0.8911,0.892,0.8929,0.8941,0.8917,0.8897,0.8938,0.8936,0.8934,0.8941,0.895,0.8964
